ID da fila;ID do pedido;Data do pedido;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;longitude;latitude;Estado;País/Região;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro
7;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0;213,2
8;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;TEC-MÁ-10001040;Tecnologia;Máquinas;Konica Impressora de crachás, Vermelho;3446,4;3;0;1654,2
9;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-MA-10001660;Material de escritório;Materiais;Elite Estilete, Industrial;973,6;4;0;194,4
10;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;TEC-AC-10004490;Tecnologia;Acessórios;Enermax Roteador, Reciclado;3415,2;2;0;136,4
11;MX-2020-134096;28/09/2020;02/10/2020;Classe padrão;DG-13000;Diogo Goncalves;Varejo;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-FI-10001314;Material de escritório;Fichários;Wilson Jones Reforço para fichário, Durável;120,6;3;0;34,8
15;MX-2021-135706;18/10/2021;23/10/2021;Classe padrão;JA-15625;Júlia Almeida;Varejo;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;MAT-AR-10002737;Material de escritório;Arte;Stanley Tela, Embalagem tipo bulk;1326,4;4;0;357,6
16;MX-2021-135706;18/10/2021;23/10/2021;Classe padrão;JA-15625;Júlia Almeida;Varejo;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;MAT-CO-10002418;Material de escritório;Colchetes;Advantus Prendedores de papel, Metal;129,4;1;0;10,2
22;MX-2020-163139;30/10/2020;03/11/2020;Segunda classe;VF-21055;Victor Ferreira;Varejo;santiago;-54,86907585;-29,19146017;Santiago;Chile;Sul;TEC-AC-10002771;Tecnologia;Acessórios;Enermax Mouse, Durável;270;1;0;59,4
23;MX-2020-163139;30/10/2020;03/11/2020;Segunda classe;VF-21055;Victor Ferreira;Varejo;santiago;-54,86907585;-29,19146017;Santiago;Chile;Sul;MAT-MA-10000059;Material de escritório;Materiais;Acme Estilete, Retangular;2070;9;0;662,4
46;MX-2021-164959;17/01/2021;18/01/2021;No mesmo dia;LC-16960;Leonardo Correia;Pequenas e Medias Empresas;goiânia;-49,25581428;-16,67330977;Goiás;Brasil;Sul;MÓV-CA-10004556;Móveis;Cadeiras;Novimex Cadeira dobrável, Par;1689,6;3;0;405
49;MX-2018-127145;13/06/2018;18/06/2018;Classe padrão;RP-20200;Ryan Pinto;Varejo;são benedito;-40,86448988;-4,04472699;Ceará;Brasil;Sul;MÓV-MÓ-10003663;Móveis;Móveis;Advantus Lâmpada, Preto;267,6;2;0;74,8
